name,type,industry,revenue,operating_income,net_income,hq_location,num_employees,founded,website,student_careers_url,index_name
Autodesk Media and Entertainment,Subsidiary,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://www.autodesk.com/,https://www.autodesk.com/careers,Autodesk Media and Entertainment
AutomatedQA Corp.,Private,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://smartbear.com/,https://www.mckinsey.com/careers/students,AutomatedQA
Automatic Duck,Private,"Software industry,Software",-1.0,-1.0,-1.0,,4,-1,http://www.automaticduck.com/,https://duckduckgo.com/hiring,Automatic Duck
Automation Anywhere,Private company,"Software industry,Computer software,cloud computing,robotic process automation,artificial intelligence",-1.0,-1.0,-1.0,"San Jose, California",2400,2003,https://www.automationanywhere.com/,https://www.automationanywhere.com/company/careers,Automation Anywhere
Automattic Inc.,Private,Internet,-1.0,-1.0,-1.0,,1273,-1,https://automattic.com/,https://automattic.com/work-with-us/,Automattic
"Autonomous Solutions, Inc.",Private,"Vehicle Automation,mining,farming,automotive,agricultural,military,facilities robotics,security",-1.0,-1.0,-1.0,,-1,-1,,https://asirobots.com/jobs/,Autonomous Solutions
Avaya Inc.,Public,Technology,2890000000.0,706000000.0,-1.0,,7900,-1,https://www.avaya.com/en/,https://careers.avaya.com/,Avaya
AvePoint,Privately held company,Computer software,-1.0,-1.0,-1.0,,1400,-1,https://www.avepoint.com/,https://www.avepoint.com/about/careers,AvePoint
"Aventri, Inc.",Private,Cloud-software Event management,-1.0,-1.0,-1.0,,-1,1998,https://www.aventri.com/,https://www.aventri.com/careers,Aventri
"Avere Systems, Inc",Private,,-1.0,-1.0,-1.0,,-1,-1,,https://www.microsoft.com/en-us/avere/contact-us,Avere Systems
"Avid Technology, Inc.",Public,"Computer software,Technology,Multimedia",413280000.0,13684000.0,10674000.0,,1446,-1,https://www.avid.com/,https://www.avid.com/careers,Avid Technology
"Aware, Inc.",Public,"Biometrics,software",-1.0,-1.0,-1.0,,-1,-1,,https://www.aware-inc.org/,"Aware, Inc."
"Awareness Technologies, Inc.",Private Company,Software,-1.0,-1.0,-1.0,,32,-1,https://awarenesstechnologies.com/,https://jobs.mayoclinic.org/career-awareness/,Awareness Technologies
Axceler,Privately held,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://www.quest.com/metalogix/,https://www.mckinsey.com/careers/students,Axceler
"Axwave, Inc.",Private,Information Technology and Services,-1.0,-1.0,-1.0,,20,-1,,https://www.mckinsey.com/careers/students,Axwave
Axway Software,''Société Anonyme'',Information Technology,301100000.0,-1.0,-1.0,,1930,2000,https://www.axway.com/en,https://www.axway.com/en/company/careers,Axway Software
"B-Scada, Inc.",Public,Software,-1.0,-1.0,-1.0,,-1,-1,https://www.linkedin.com/company/scada-integrators-and-service,http://relaxcolchoneria.store/2015-mitsubishi/online-plc-scada-jobs.html,B-Scada
B2W Software,Private,Enterprise-class construction software,-1.0,-1.0,-1.0,,-1,-1,,https://www.b2wsoftware.com/company/b2w-careers/,B2W Software
