Rank,name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,website,hq_location
416,Workiva Inc.,"Software,Distributed Systems",Public,2008,"1,420",298.0,-,https://www.workiva.com/careers,workiva.com,"Ames, IA"
417,StrongLoop,Other,Private,2012,500,8.0,-,https://www.linkedin.com/company/strongloop-inc-,strongloop.com,
418,Cleo,Software,Private,1976,300,40.0,,https://hicleo.com/careers/,cleo.com,"Rockford, IL"
419,"GenArts, Inc.",Software,Private,1996,50,-,-,https://borisfx.com/company/careers/,genarts.com,"Cambridge, MA"
420,Trumpia,Software,Private,2006,80,125.0,-,https://www.trumpia.com/about-us/our-company,trumpia.com,
421,NuoDB,"Software,Database",Private,2008,85,6.0,-,https://nuodb.com/about/careers,nuodb.com,
422,Varonis Systems,Software,Public,2005,"1,000",217.0,-,https://info.varonis.com/careers?p=jobs&error=301&nl=1,varonis.com,
423,JanusVR,Other,Private,2015,100,"1,580.0",-,https://www.mckinsey.com/careers/students,janusvr.com,
424,Nodejitsu,Other,Private,2010,250,192.0,-,https://lensa.com/nodejitsu/jobs/c/90a66401744bf3756b646ba30abf2518cf6e8659,nodejitsu.com,
425,Oracle Bronto,Social media,Public,2002,400,80.0,-,https://bronto.com/,bronto.com,"Redwood City, CA"
426,"Fixstars Solutions, Inc.",Software,Private,2008,180,46.0,-,https://angel.co/company/fixstars-solutions/jobs,fixstars.com,
427,rewardStyle,"Software,Networking",Private,2011,250,4.0,-,https://about.rewardstyle.com/careers,rewardstyle.com,Dallas Texas
428,Bromium,Software,Private,2010,120,120.0,-,https://www.bromium.com/careers/,bromium.com,"Cupertino, CA"
429,Datalight,Software,Private,1983,30,-,-,https://www.indeed.com/cmp/Datalight,datalight.com,"Espoo, Finland"
430,Forward Networks,Other,Private,2013,40,29.5,-,https://forwardnetworks.com/about/careers/,forwardnetworks.com,"Palo Alto, CA"
431,Dialogic,Networking,Private,1983,550,63.0,-,https://www.dialogic.com/careers,dialogic.com,"Milpitas, CA"
432,Revolution Analytics,Software,Private,2007,340,11.0,-,https://jobs.revolution.com/,revolutionanalytics.com,"Mountain View, CA"
433,Tricentis,"Software,Consulting",Private,2007,750,100.0,-,https://www.tricentis.com/company/careers/,tricentis.com,
434,"Diffeo, Inc.",Software,Private,2012,25,-,-,https://angel.co/company/diffeo/jobs,diffeo.com,"Cambridge, MA"
435,Masergy Communications,Software,Private,2000,700,300.0,-,https://www.masergy.com/careers,masergy.com,"Plano, TX"
436,EnterpriseAlumni Inc.,Software,Private,2016,40,6.0,-,https://enterprisealumni.com/careers/,enterprisealumni.com,"Los Angeles, CA"
437,Epicor,Software,Private,1972,"4,100",900.0,-,https://jobs.epicor.com/,epicor.com,
438,Insilico Medicine,"Software,Pharmaceuticals",Private,2014,70,10.9,-,https://insilico.com/career,insilicomedicine.com,
439,Versant Object Database,Other,Private,1988,500,25.3,-,https://versanthealth.com/careers/,versant.com,"Linthicum, MD"
440,Mavenir,"Software,Networking",Private,2017,"3,300",108.0,-,https://mavenir.com/about/,mavenir.com,"Richardson, TX"
441,"CyberArk Software, Inc.",Software,Public,1999,"1,380",343.0,90.0,https://careers.cyberark.com/,cyberark.com,"Newton, MA"
442,Intetics,"Software,Consulting",Private,1995,700,14.4,-,https://intetics.com/careers,intetics.com,"Naples, FL"
443,Spatial Corp.,Software,Private,1986,75,"7,830.0",-,https://www.spatial.com/company/careers,spatial.com,"New York, NY"
444,Convoy,Software,Private,2015,"1,000",500.0,,https://convoy.com/convoy-careers/,convoy.com,"Seattle, WA"
445,Railinc Corporation,Software,Private,1998,"2,500",12.0,-,http://public.railinc.com/careers/university-recruiting,railinc.com,"Cary, NC"
446,QC Ware,Other,Private,2014,30,3.0,,https://qcware.com/qc-ware-job-opening-quantum-algorithms-intern/,qcware.com,"San Francisco, CA"
447,Handmark,Other,Private,2000,100,11.0,-,https://www.lockheedmartinjobs.com/college-students,handmark.com,"Kansas City, MO"
448,MontaVista Software.,"Software,Networking",Private,1999,250,276.0,,https://mvhs.fuhsd.org/guidance-student-support/college-career-planning/college-career-center,mvista.com,"San Jose, CA"
449,RainStor,"Software,Consulting",Private,2003,200,12.0,-,https://www.mckinsey.com/careers/students,rainstor.com,"San Francisco, CA"
450,TeamQuest Corporation,"Software,Consulting",Private,1991,200,18.0,-,https://www.team-quest.org/jobs,helpsystems.com,"Eden Prairie, MN"
451,Sonic Foundry Inc.,"Software,Consulting",Private,1991,250,"5,600.0",-,https://sonicfoundry.com/careers/,sonicfoundry.com,"Madison, WI"
452,Broadleaf Commerce,E-Commerce,Private,2008,450,7.0,-,https://www.broadleafcommerce.com/careers,broadleafcommerce.com,"Dallas, Texas"
453,Precise Software Solutions,Software,Private,1990,420,26.0,,https://www.precise-soft.com/careers,precise.com,"Houston, TX"
454,"Xinuos, Inc.",Software,Private,2011,200,150.0,-,https://www.xinuos.com/careers-overview/,xinuos.com,"Berkeley, CA"
455,"HelpSystems, LLC",Other,Private,1982,950,250.0,-,https://www.helpsystems.com/about/careers,helpsystems.com,"Minneapolis, MN"
456,Pervasive Software Inc.,Software,Private,1994,10,47.2,-,"https://www.glassdoor.com/Job/pervasive-software-jobs-SRCH_KE0,18.htm",pervasive.com,"Redwood City, CA"
457,Windward Studios,Software,Private,1996,30,6.0,-,https://www.windwardstudios.com/company/careers,windwardstudios.com,"Boulder, CO"
458,CallMiner,Software,Private,2002,250,52.0,-,https://careers.callminer.com/,callminer.com,"Fort Myers, FL"
459,Walker Digital LLC,Other,Private,1994,10,13.0,-,walkerdigital.com,walkerdigital.com,"Stamford, CT"
460,"Collaborative Drug Discovery, Inc.",Other,Private,2004,30,11.0,-,https://www.collaborativedrug.com/about/careers/,collaborativedrug.com,"Burlingame, CA"
461,QAD Inc.,Software,Public,1979,"1,950",333.0,-,https://www.qad.com/about/careers,qad.com,"Santa Barbara, CA"
462,CTERA,"Distributed Systems,Database,Networking",Private,2008,160,23.0,-,https://www.ctera.com/company/careers/,ctera.com,"New York, NY"
463,Daintree Networks,Networking,Private,2003,10,"7,780.0",-,https://www.gecurrent.com/careers,daintree.net,"Los Altos, CA"
464,WebAssist.com Corporation,Software,Private,1999,20,391.0,-,https://www.linkedin.com/company/webassist,webassist.com,"San Diego, CA"
465,RenderX,Software,Private,1999,100,17.0,-,http://www.renderx.com/,renderx.com,"Palo Alto, CA"
466,Kamakura Corporation,Software,Private,1990,25,"3,490.0",-,http://www.kamakuraco.com/company/careers.aspx,kamakuraco.com,
467,Inbenta,"Software,Consulting,Networking,Artificial Intelligence",Private,2005,165,14.2,,https://www.inbenta.com/en/about-us/careers/,inbenta.com,
468,"Integration Point, Inc.",Other,Private,2002,100,19.4,-,https://www.thomsonreuters.com/en/careers.html,integrationpoint.com,"Charlotte, NC"
469,Timesys Corporation,Software,Private,1996,50,29.5,-,https://www.timesys.com/about-us/careers/,timesys.com,"Pittsburgh, PA"
470,Digital River,E-Commerce,Private,1994,"1,239",371.0,-,https://www.digitalriver.com/careers/,digitalriver.com,"Minnetonka, MN"
471,RadView Software,Software,Public,1993,15,7.0,-,https://www.radview.com/company/careers/,radview.com,
472,Dimensional Insight,Other,Private,1989,110,"1,300.0",-,https://www.dimins.com/business-intelligence-jobs/,dimins.com,"Burlington, MA"
473,Quid Inc.,Other,Private,2010,125,24.3,-,https://quid.com/careers-2/,quid.com,"San Francisco, CA"
474,"Mediapolis, Inc.","Software,Networking",Private,1995,10,774.0,-,mediapolis.com,mediapolis.com,"New York City, NY"
475,Witlingo Inc.,Other,Private,2016,10,1.0,-,https://www.witlingo.com/about/,witlingo.com,"Washington, DC"
476,Pristine.io,Multimedia,Private,2013,20,17.5,-,https://www.builtinaustin.com/company/pristineio,pristine.io,"Austin, TX"
477,Intergraph Corporation,Software,Private,1969,"4,000",808.0,-,https://hexagonppm.com/about/careers,hexagonppm.com,"Madison, AL"
478,Information Builders (ibi),Software,Private,1975,"1,400",315.0,-,https://www.ibi.com/careers/,ibi.com,"New York, NY"
479,"Dimdim, Inc.",Software,Private,2006,200,9.0,-,https://www.salesforce.com/company/careers/?d=70130000000i80S,dimdim.com,"Boston, MA"
480,Tufin,"Consulting,Networking,Security",Public,2005,400,38.0,-,https://www.tufin.com/careers,tufin.com,"Boston, MA"
481,Zylog Systems Limited,Consulting,Public,1995,697,102.0,313.0,https://www.zsl.org/about-us/jobs,zsl.com,
482,"CloudSight, Inc.","Software,Networking",Private,2012,50,2.0,-,https://angel.co/company/cloudsightai/jobs,cloudsight.ai,"Los Angeles, CA"
483,Vicarious,Artificial Intelligence,Private,2010,120,17.8,-,https://www.vicarious.com/careers/,vicarious.com,"San Francisco, CA"
484,Lavastorm,"Software,Networking,Data Analytics",Private,1993,20,35.0,-,https://www.infogix.com/careers/,lavastorm.com,"Boston, MA"
485,Reaction Design,Other,Private,1997,50,"1,200.0",-,https://www.ansys.com/about-ansys/careers,reactiondesign.com,"San Diego, CA"
486,SelfCAD,Other,Private,2015,20,3.0,-,https://www.selfcad.com/,selfcad.com,"Greater New York Area, NY"
487,Rocketium Technologies Pvt. Ltd.,"Consulting,Multimedia",Private,2015,25,6.0,-,https://angel.co/company/rocketium/jobs,rocketium.com,
488,Imply,Software,Private,2015,150,20.2,-,https://imply.io/careers,imply.io,"Burlingame, CA"
489,Numerix LLC,Software,Private,1996,300,67.3,-,https://www.numerix.com/careers,numerix.com,"New York, NY"
490,Telogis,Software,Private,2001,500,100.0,-,https://www.verizon.com/about/careers/college-students,telogis.com,"Aliso Viejo, CA"
491,Blitz,Software,Private,2006,200,11.0,-,https://blitz.com/,blitz.io,
492,UNICOM Global,"Software,Consulting",Private,1981,"1,000",508.0,-,https://www.unicomglobal.com/opportunities/,unicomglobal.com,"Mission Hills, CA"
493,Talygen Inc.,"Software,Consulting,Networking",Private,2009,50,7.0,-,https://talygen.com/,talygen.com,"Palo Alto, CA"
494,"Sealevel Systems, Inc.","Software,Electronics",Private,1986,60,15.0,-,https://www.sealevel.com/company/careers/,sealevel.com,"Liberty, South Carolina"
495,BenchPrep,Other,Private,2009,140,22.3,-,https://benchprep.com/,benchprep.com,"Chicago, IL"
496,"Objective Interface Systems, Inc.","Software,Electronics",Private,1989,40,8.0,-,http://www.ois.com/About-Us/careers.html,ois.com,"Herndon, VA"
497,"IntervalZero, Inc.",Software,Private,2008,50,6.0,-,https://www.intervalzero.com/company/careers/,intervalzero.com,"Waltham, MA"
498,"Open iT, Inc.",Software,Private,1999,132,21.0,-,https://openit.com/about-us/careers/,openit.com,
499,Casebook PBC,"Software,Consulting,Distributed Systems",Public,2017,100,7.0,-,https://www.casebook.net/jobs/,casebook.net,"New York, NY"
500,Keap,E-Commerce,Private,2001,650,100.0,-,https://careers.state.gov/,keap.com,
501,Netcracker Technology,"Software,Consulting",Private,1993,-,-,-,https://www.netcracker.com/careers/,netcracker.com,
502,Pyze,Software,Private,2013,-,-,-,https://www.pyze.com/careers/,pyze.com,"Redwood City, California"
503,PROS,Software,Public,-,-,-,-,https://pros.com/about-pros/careers/students-opportunities/,pros.com,
504,ImageSource Inc.,Other,Private,-,-,-,-,https://imagesourceinc.com/career/,imagesourceinc.com,
505,Kurzweil Education (formerly Kurzweil Educational Systems),Software,Private,-,-,-,-,https://www.kurzweiledu.com/about-kurzweil/careers.html,kurzweiledu.com,
506,"Honestech, Inc",Software,Private,-,-,-,-,https://www.mckinsey.com/careers/students,honestech.com,
507,Buildium,Other,Private,-,-,-,-,https://www.buildium.com/careers/,buildium.com,
508,"Zumobi, Inc",Social media,Private,-,-,-,-,,zumobi.com,
509,Globalscape,"Consulting,Networking,Security",Public,-,-,-,-,https://www.globalscape.com/careers,globalscape.com,
510,"Venafi, Inc","Software,Consulting,Networking,Security",Private,-,-,-,-,,venafi.com,
511,SQLstream,Other,Private,-,-,-,-,https://sqlstream.com/company/careers/,sqlstream.com,
512,Planview,Software,Private,-,900,-,-,https://www.planview.com/company/careers/,planview.com,
513,Voxeet,Software,Private,-,-,-,-,,voxeet.com,
514,Sarnoff Corporation,"Software,Consulting,Electronics",Private,-,-,-,-,https://www.sri.com/careers/,sarnoff.com,
515,Kulabyte Corporation,"Software,Multimedia",Private,-,-,-,-,https://www.mckinsey.com/careers/students,haivision.com,
516,eVoice,Other,Private,-,-,-,-,https://www.indeed.com/q-Automated-Voice-jobs.html,evoice.com,
517,OpenGov,Other,Private,-,250,-,-,https://www.opm.gov/policy-data-oversight/hiring-information/students-recent-graduates/,opengov.com,
518,Bloomfire,Software,Private,2010,-,-,-,https://bloomfire.com/,bloomfire.com,"Austin, Texas"
519,"SAP Fieldglass, Inc.",Software,Private,-,"1,000",-,-,https://www.fieldglass.com/company/careers,fieldglass.com,
520,"Smith Micro Software, Inc",Software,Public,-,160,26.3,-,https://www.smithmicro.com/careers/,smithmicro.com,
521,Nsite,Software,Private,-,0,-,-,https://www.nist.gov/careers/student-opportunities,ondemand.com,
522,Revionics,Other,Private,-,0,-,-,https://revionics.com/careers/,revionics.com,
523,FalconStor Software,Software,Public,-,-,-,-,https://www.falconstor.com/careers/,falconstor.com,
524,FloQast,Software,Private,2013,150,-,-,https://floqast.com/company/careers/,floqast.com,"Los Angeles, California Los Angeles California United States U.S."
525,TrackingPoint,Software,Private,-,-,-,-,,tracking-point.com,
526,Invite Media,Social media,Private,-,-,-,-,http://www.invitemedia.com/careers/open_positions.html,invitemedia.com,
527,SignalFx,Other,Private,2013,200,-,-,https://www.splunk.com/en_us/careers.html,signalfx.com,
528,Sansar,Other,Private,-,-,-,-,https://www.sansar.com/,sansar.com,
529,Zip2,Other,Private,1995,-,-,-,,zip2.com,
530,Modernizing Medicine,Software,Private,2010,-,-,-,https://www.modmed.com/company/careers/,modmed.com,
531,NetMotion Software,Software,Private,-,130,-,-,https://www.netmotionsoftware.com/culture-values-careers,netmotionsoftware.com,
532,Callidus Software Inc.,Software,Private,-,1,253.0,-,https://www.sap.com/about/careers.html,calliduscloud.com,
533,"ClickSoftware, A Salesforce Company",Software,Public,-,700,126.0,-,https://www.salesforce.com/company/careers/,clicksoftware.com,
534,Digital Reasoning,Other,Private,-,-,-,-,https://digitalreasoning.com/careers/,digitalreasoning.com,
535,Devicescape,Software,Private,-,-,-,-,http://www.devicescape.com/open-positions/,devicescape.com,
536,Cherwell Software,Software,Private,-,-,-,-,https://www.cherwell.com/about/careers/,cherwell.com,
537,Infinidat,Database,Private,-,-,-,-,https://hiring.infinidat.com/,infinidat.com,
538,"DeepScale, Inc.",Other,Private,-,-,-,-,http://deepscale.ai/careers/,deepscale.ai,
539,"Envivio, Inc.","Software,Multimedia",Public,-,500,50.6,-,https://www.mckinsey.com/careers/students,envivio.com,
540,Zadara Storage,Database,Private,-,-,-,-,,zadara.com,
541,"GrammaTech, Inc.","Software,Consulting",Private,-,-,-,-,https://www.grammatech.com/careers,grammatech.com,
542,"Plex Systems, Inc.",Software,Private,1995,-,-,-,https://www.plex.tv/about/careers/,plex.com,
543,Traction Software,Software,Private,-,-,-,-,,tractionsoftware.com,
544,"SS&C Technologies, Inc.",Software,Public,-,"22,600","6,360.0",-,https://www.ssctech.com/about-us/careers/recent-graduates,ssctech.com,
545,Dealpath,"Software,Real Estate",Private,2014,-,-,-,https://www.dealpath.com/careers/,dealpath.com,"San Francisco, CA"
546,Lightspeed Systems,Other,Private,-,-,-,-,https://www.lightspeedsystems.com/company/careers/,lightspeedsystems.com,
547,LunarG,Software,Private,2009,-,-,-,https://www.mckinsey.com/careers/students,lunarg.com,Colorado United States
548,Koombea,Software,Private,-,-,-,-,https://www.koombea.com/careers/,koombea.com,
549,Hoopla Software,Software,Private,2010,35,-,-,https://www.hoopla.net/careers/,hoopla.net,
550,"Matroid, Inc.",Software,Private,-,-,-,-,https://angel.co/company/matroid,matroid.com,
551,"No Magic, Inc.",Software,Private,1995,-,-,-,https://www.nomagic.com/component/k2/itemlist/category/4-internship-program,nomagic.com,
552,MiMedia,Other,Private,-,-,-,-,https://angel.co/company/mimedia/jobs,mimedia.com,
553,Xactly Corporation,Software,Private,-,500,-,-,,xactlycorp.com,
554,PrepMe LLC,Networking,Private,-,-,-,-,https://www.nyu.edu/students/student-information-and-resources/career-development-and-jobs/prepare-for-the-job-search.html,prepme.com,
555,Perceptive Software,Other,Private,-,900,-,-,https://www.hyland.com/en/careers,hyland.com,
556,Red Touch Media,Other,Private,-,60,-,-,https://www.redtouchmedia.com/about/jobs/,redtouchmedia.com,
557,"Hyland Software, Inc.",Software,Private,-,"3,500",-,-,https://www.hyland.com/en/careers,hyland.com,
558,"Logi Analytics, Inc",Data Analytics,Private,-,-,-,-,https://www.logianalytics.com/company/careers/,logianalytics.com,
559,Mindgrub Technologies,Other,Private,2002,-,-,-,https://www.mindgrub.com/careers,mindgrub.com,
560,Turbonomic,"Software,Consulting,Artificial Intelligence",Private,-,553,-,-,,turbonomic.com,
561,"ZeroC, Inc.",Software,Private,2002,-,-,-,,zeroc.com,
562,Blackboard,Software,Private,-,"3,000",700.0,-,https://careers.blackboard.com/,careers.blackboard.com,
563,Serena Software Inc.,"Software,Consulting",Private,-,400,219.0,-,https://www.ziprecruiter.com/Jobs/Serena-Software,serena.com,
564,GridPoint,Other,Private,-,-,-,-,https://www.gridpoint.com/careers/,gridpoint.com,
565,"Skytap, Inc.",Other,Private,-,100,-,-,https://www.skytap.com/careers/,skytap.com,
566,SourceClear,Other,Private,2013,-,-,-,https://www.dhs.gov/homeland-security-careers/student-and-recent-grads,srcclr.com,
567,"CloudEndure, Inc.","Software,Consulting,Distributed Systems",Private,-,-,-,-,https://www.cloudendure.com/,cloudendure.com,
568,Eze Castle Integration,Consulting,Private,-,700,-,-,https://www.eci.com/about-us/careers/,eci.com,
569,"QxBranch, Inc.",Software,Private,-,15,-,-,https://www.rigetti.com/careers,qxbranch.com,
570,"Sage Intacct, Inc",Software,Private,-,-,-,-,https://jobs.jobvite.com/sage-intacct,sageintacct.com,
571,jKool,Consulting,Private,2014,-,-,-,https://www.mckinsey.com/careers/students,jkoolcloud.com,
572,"Medidata Solutions, Inc.",Software,Private,-,"1,998",636.0,-,https://www.medidata.com/en/careers/,medidata.com,
573,Jadu,Software,Private,-,-,-,-,https://www.jadu.net/careers,jadu.net,
574,Kinoma,Software,Private,-,15,-,-,https://www.marvell.com/company/newsroom/marvells-kinoma-create-the-javascript-powered-iot-construction-kit-gives-developers-a-connected-device-prototyping-platform-for-the-modern-era.html,kinoma.com,
575,"Mitchell International, Inc.",Software,Private,-,"1,700",-,-,https://www.mitchell.com/careers,mitchell.com,
576,Precisely,Other,Private,-,"2,000",-,-,https://www.blackline.com/careers/,precisely.com,
577,Smarsh,Software,Private,2001,620,111.0,-,https://www.smarsh.com/careers/,smarsh.com,
578,Kenandy Inc.,Distributed Systems,Private,2010,-,-,-,https://www.kenandy.com/careers/,kenandy.com,
579,"SALVAGEDATA Recovery, Inc.",Consulting,Private,2003,-,-,-,https://www.bls.gov/k12/students/,salvagedata.com,
580,Opendatasoft,Data Analytics,Private,2011,50,-,-,"https://www.glassdoor.com/Overview/Working-at-Opendatasoft-EI_IE2127697.11,23.htm",opendatasoft.com,"Boston, MA and Paris, France"
581,"Leadspace, Inc.",Software,Private,-,-,-,-,https://www.leadspace.com/careers/,leadspace.com,
582,Virtusa Corporation,"Software,Consulting",Public,-,"20,000","1,020.0",-,,virtusa.com,
583,"Dieselpoint, Inc.","Software,Consulting",Private,-,-,-,-,http://dieselpoint.com/careers/index.html,dieselpoint.com,
584,Search Technologies Corp.,"Software,Consulting",Private,-,-,-,-,,searchtechnologies.com,
585,"Deacom, Inc.",Other,Private,-,165,-,-,https://deacom.com/careers,deacom.com,
586,"KANA Software, Inc.",Software,Private,-,350,100.0,-,https://www.zippia.com/kana-software-careers-28371/,kana.com,
587,"Semantria, Inc.",Software,Private,-,-,-,-,https://www.lexalytics.com/students-trial-signup,lexalytics.com,
588,"SilkRoad Technology, Inc.",Software,Private,-,300,-,-,https://silkroadtechnology.com/careers/,silkroad.com,
589,"DaySmart Software, Inc.",Software,Private,-,61,-,-,http://careers.daysmart.com/,daysmart.com,
590,Instabase,Software,Private,-,-,-,-,https://about.instabase.com/careers/,instabase.com,
591,"Redcort Software, Inc.",Software,Private,-,-,-,-,https://www.redcort.com/careers,redcort.com,
592,ShipWorks,E-Commerce,Private,-,-,-,-,https://www.shipworks.com/blog/we-are-hiring-st-louis-software-company/,shipworks.com,
593,Raindance Communications,"Software,Networking",Private,-,-,-,-,https://www.raindance.org/london/our-fabulous-interns/,raindance.com,
594,Vesess,"Software,Networking",Private,2004,-,-,-,,vesess.com,
595,Meta SaaS,Software,Private,-,-,-,-,https://angel.co/company/metasaas/jobs?src=rec,metasaas.com,
596,IGG Software Inc.,Software,Private,-,9,-,-,https://www.iggsoftware.com/about.php,iggsoftware.com,
597,"Levi, Ray & Shoup, Inc.",Software,Private,-,630,-,-,https://jobs.lrs.com/,lrs.com,
598,Skyhook,Other,Private,-,75,-,-,https://www.skyhook.com/careers,skyhook.com,
599,Visio Corporation,Software,Private,1989,-,-,-,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation,visio.com,
600,GroupLogic,Software,Private,-,40,-,-,,grouplogic.com,
601,MassTransit Enterprise,Other,Private,-,-,-,-,https://careers.enterprise.com/internships,grouplogic.com,
602,Looksery,Software,Private,-,45,-,-,https://joinhandshake.com/,looksery.com,
603,"Impetus Technologies, Inc.",Software,Private,1991,"1,600",60.0,-,https://www.indeed.com/cmp/Applied-Predictive-Technologies,impetus.com,
604,dtSearch Corp.,Software,Private,-,-,-,-,https://www.dtsearch.com/CS_recruit.html,dtsearch.com,
605,Daily Journal Corporation,Software,Public,1986,250,48.7,-,https://dailyjournal.com/job_listings,dailyjournal.com,Los Angeles California
606,TownNews.com,Networking,Private,1989,-,-,-,,townnews365.com,
607,ZL Technologies,Software,Private,-,-,-,-,,zlti.com,
608,MadCap Software,Software,Private,-,-,-,-,https://www.madcapsoftware.com/company/careers/,madcapsoftware.com,
609,Mi9 Retail,Software,Private,-,-,-,-,https://mi9retail.com/about-us/careers/,mi9retail.com,
610,TopTenWholesale,Other,Private,-,-,-,-,,toptenwholesale.com,
611,Kinetica,Other,Private,-,-,-,-,https://www.kinetica.com/careers/,kinetica.com,
612,Network Automation,Other,Private,-,-,-,-,https://www.itential.com/company/careers/,networkautomation.com,
613,"Encore Software, LLC",Software,Private,-,-,-,-,https://encore.org/,encore.com,
614,nCino,"Software,Finance",Public,-,935,-,-,https://www.ncino.com/culture-careers/job-openings,ncino.com,
615,Zango,Other,Private,-,100,-,-,,zango.com,
616,MulticoreWare Inc.,Software,Private,-,250,-,-,https://multicorewareinc.com/jobs/,multicorewareinc.com,
617,Red Bend Software,"Software,Consulting,Networking",Private,-,-,-,-,https://angel.co/company/red-bend-software,redbend.com,
618,"Velocify, Inc.",Software,Private,-,150,-,-,,velocify.com,
619,Revolution Prep,Networking,Private,-,-,-,-,https://www.revolutionprep.com/,revolutionprep.com,
620,Smartface Inc.,Software,Private,-,20,-,-,https://smartface.io/careers/smartface-young-talent-program/,smartface.io,
621,"Raxco Software, Inc.",Software,Private,1978,-,-,-,https://www.mckinsey.com/careers/students,raxco.com,
622,Solid Documents Limited,Software,Private,-,-,-,-,https://careers.ucr.edu/students/internship,soliddocuments.com,
623,Honeywell Intelligrated,Travel,Public,-,-,-,-,https://careers.honeywell.com/us/en,intelligrated.com,
624,Netsmart Technologies,"Software,Consulting,Pharmaceuticals",Private,-,"2,100",355.0,-,https://www.ntst.com/About-Us/Careers,ntst.com,
625,"Cincom Systems, Inc.","Software,Consulting",Private,-,-,-,-,https://www.cincom.com/us/company/careers,cincom.com,
626,Catalant,Software,Private,-,-,-,-,https://www.catalent.com/careers/students-grads/,gocatalant.com,
627,Cloudwords,Software,Private,2010,-,-,-,https://www.cloudwords.com/blog/cloudwords-university-enroll-now,cloudwords.com,"San Francisco, California"
628,Ciright Systems,"Software,Consulting,Distributed Systems",Private,-,-,-,-,https://careers.smartrecruiters.com/Ciright,ciright.com,
629,Divide (previously Enterproid),Consulting,Private,-,-,-,-,https://careers.enterprise.com/internships,divide.com,
630,Tomofun,Other,Private,-,-,-,-,,furbo.com,
631,Xangati,"Software,Artificial Intelligence",Private,-,-,-,-,,xangati.com,
632,New Atlanta Communications,Software,Private,1998,-,-,-,https://studenttocareer.com/,newatlanta.com,
633,NetSol Technologies,Software,Public,1997,-,-,-,https://www.netsoltech.com/,netsoltech.com,"Calabasas, California United States"
634,"CrowdOptic, Inc.","Software,Electronics",Private,-,-,-,-,https://www.careeronestop.org/,crowdoptic.com,
635,ByWater Solutions LLC,Software,Private,-,-,-,-,http://bywatersolutions.com/about-us,bywatersolutions.com,
636,Iretron,Other,Private,-,0,-,-,https://iretron.com/pages/jobs,iretron.com,
637,NovaStor,Software,Private,1987,-,-,-,https://www.novastor.com/company/careers,novastor.com,Agoura Hills
638,"Veriato, Inc.",Software,Private,-,-,-,-,,veriato.com,
639,CYBRA Corporation,Software,Public,-,-,-,-,https://cybra.com/careers/,cybra.com,
640,Sopheon,Software,Public,-,-,-,-,https://www.sopheon.com/careers/,sopheon.com,
641,Mitchell 1,Automobiles,Private,-,-,-,-,https://mitchell1.com/jobs/,mitchell1.com,
642,US Fleet Tracking,Other,Private,-,-,-,-,,usfleettracking.com,
643,Zugara,Software,Private,-,-,-,-,,zugara.com,
644,KeyedIn Solutions,Software,Private,-,-,-,-,https://www.keyedin.com/company/careers/,keyedin.com,
645,LabWare,Software,Private,-,-,-,-,https://www.accenture.com/us-en/careers/jobdetails?id=00830723_en,labware.com,
646,Virsto,Software,Private,-,-,-,-,,virsto.com,
647,TransLattice,Database,Private,-,20,-,-,,translattice.com,
648,Radiant Logic,Software,Private,-,-,-,-,https://www.radiantlogic.com/about/careers/,radiantlogic.com,
649,"Bright Machines, Inc.",Software,Private,-,500,-,-,https://www.brightmachines.com/join-the-team/,brightmachines.com,
650,"Guidance Solutions, Inc.","Software,Consulting,Networking",Private,-,-,-,-,https://medium.com/@ravikumarnama/best-free-career-guidance-websites-for-students-39ccf9f3ac8c,guidance.com,
651,Eggplant,Other,Private,-,-,-,-,https://www.eggplantsoftware.com/join-us,eggplantsoftware.com,
652,Sitrion,Other,Private,-,85,-,-,https://www.lockheedmartinjobs.com/college-students,sitrion.com,
653,Knoa Software,"Software,Consulting",Private,-,-,-,-,https://www.knoa.com/careers/,knoa.com,
654,"RSi, Retail Solutions Inc",Software,Private,-,400,-,-,https://www.retailsolutions.com/company/careers/,retailsolutions.com,
655,"XIM, Inc.","Consulting,Networking",Private,-,300,-,-,,ximxim.com,
656,'''Unica Corporation''',Other,Private,-,-,-,-,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation,unica.com,
657,SplendidCRM,Software,Private,2005,0,-,-,https://careers.microsoft.com/students/us/en,splendidcrm.com,
658,Exela Technologies,"Software,Consulting",Public,-,"22,000",-,-,https://www.exelatech.com/careers,exelatech.com,
659,ZeroTurnaround AS,Software,Private,-,-,-,-,,jrebel.com,
660,"Catalyst Repository Systems, Inc.","Software,Security",Private,-,170,-,-,https://www.zippia.com/catalyst-repository-systems-careers-1407027/,catalystsecure.com,
661,"TokenEx, LLC","Consulting,Security",Private,2010,30,-,-,,tokenex.com,
662,"Qarbon.com, Inc.",Software,Private,-,-,-,-,https://www.lccc.edu/student-experience/career-development-center,qarbon.com,
663,PSSC Labs,"Software,Consulting,Electronics",Private,-,-,-,-,https://pssclabs.com/,pssclabs.com,
664,Velaro,Other,Private,-,-,-,-,,velaro.com,
665,SLI Systems,Software,Private,-,-,-,-,https://www.sli-systems.com/about/careers,sli-systems.com,
666,Enli Health Intelligence,Software,Private,-,125,25.0,-,https://www.enli.net/,enli.net,
