Rank,name,website,students_careers_url,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),hq_location
139,"Fidelity National Information Services, Inc.",fisglobal.com,https://www.fisglobal.com/en/careers,Other,Public,1968,55000,"12,200.00",-,"Jacksonville, FL"
140,SolarWinds Inc.,solarwinds.com,https://www.solarwinds.jobs/,Software,Public,1999,2500,939,-,"Austin, TX"
141,"Zscaler, Inc.",zscaler.com,https://www.zscaler.com/careers,"Software,Consulting,Networking,Security",Public,2008,1480,431,-,"San Jose, CA"
142,SeeClickFix,seeclickfix.com,https://seeclickfix.com/pages/jobs.html,"Software,Consulting",Private,2008,20,75,-,"New Haven, CT"
143,Veeam Software Group GmbH,veeam.com,https://careers.veeam.com/?ad=menu-company,Software,Private,2006,4300,1,-,
144,"Workday, Inc.",workday.com,https://www.workday.com/en-us/company/careers/university-recruiting.html,"Software,Distributed Systems",Public,2005,3700,"3,630.00",146,"Pleasanton, CA"
145,"NewTek, Inc.",newtek.com,https://www.newtek.com/,Software,Private,1985,310,52,-,"San Antonio, TX"
146,OneLogin,onelogin.com,https://www.onelogin.com/company/careers,Distributed Systems,Private,2009,260,50.2,-,"San Francisco, CA"
147,"MuleSoft, LLC.",mulesoft.com,https://www.mulesoft.com/careers,Software,Private,2006,1190,296,79.8,"San Francisco, CA"
148,MicroStrategy Incorporated,microstrategy.com,https://www.microstrategy.com/en/careers,Software,Public,1989,2400,486,-,"1850 Towers Crescent Plaza Tysons Corner, VA"
149,LiquidPlanner,liquidplanner.com,https://www.liquidplanner.com/blog/category/careers/,Other,Private,2006,65,8,-,"Seattle, WA"
150,Informatica,informatica.com,https://informatica.gr8people.com/,Software,Private,1993,4800,"1,050.00",-,"Redwood City, CA"
151,RhythmOne plc,rhythmone.com,https://www.rhythmone.com/careers/,Networking,Public,2004,525,145,-,"San Francisco, CA"
152,Cerner Corporation,cerner.com,https://careers.cerner.com/students-graduates,"Software,Consulting,Pharmaceuticals",Public,1979,27400,"5,700.00",763,"North Kansas City, MO"
153,Caspio,caspio.com,https://www.caspio.com/careers/,Software,Private,2000,150,10,-,"Santa Clara, CA"
154,"RiskIQ, Inc.",riskiq.com,https://www.riskiq.com/company/careers/,Other,Private,2009,212,30.7,-,"San Francisco, CA"
155,Harman Connected Services,harman.com,https://jobs.harman.com/,Networking,Private,2001,30000,290,-,"Stamford, CT"
156,Insight Enterprises,insight.com,https://www.insight.com/en_US/careers.html,Other,Public,1988,11000,"6,700.00",-,"Tempe, AZ"
157,"Sawtooth Software, Inc.",sawtoothsoftware.com,https://sawtoothsoftware.com/careers,Software,Private,1983,37,137,-,"Provo, UT"
158,"BMC Software, Inc.",bmc.com,https://www.bmc.com/careers/careers.html,Software,Private,1980,6000,2,-,"Houston, TX"
159,Corona Labs,coronalabs.com,https://coronalabs.com/jobs/,Other,Private,2007,50,3,-,"San Francisco, CA"
160,"Greenhouse Software, Inc.",greenhouse.io,https://www.greenhouse.io/careers,Other,Private,2012,500,50,-,New York City
161,"iCIMS, Inc.",icims.com,https://careers.icims.com/,Software,Private,2000,1000,300,-,"Holmdel, NJ"
162,"Ceridian HCM, Inc.",ceridian.com,https://www.ceridian.com/careers,Software,Public,1992,5200,824,72.3,"Minneapolis, MN"
163,SunGard Data Systems,sungard.com,https://jobs.sungardas.com/,"Software,Consulting",Private,1983,13000,"4,990.00",-,"Wayne, PA"
164,"Carbon Black, Inc.",carbonblack.com,https://lifeatcb.carbonblack.com/,"Consulting,Security",Private,2002,1000,60.9,-,"Waltham, MA"
165,"Qualys, Inc.",qualys.com,https://www.qualys.com/careers/,"Consulting,Networking,Security",Public,1999,1265,322,-,"Foster City, CA"
