AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,PricewaterhouseCoopers
WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,PricewaterhouseCoopers
Assured Guaranty Ltd. Common Stock,ClearHealthCosts
ProShares Ultra Silver,Progressive
Avangrid, Inc. Common Stock,PlaceILive.com
Adecoagro S.A. Common Shares,MuckRock.com
Agile Therapeutics, Inc. - Common Stock,FindTheBest.com
PlayAGS, Inc. Common Stock,PlanetEcosystems
iShares MSCI Argentina and Global Exposure ETF,Marinexplore,
Applied Genetic Technologies Corporation - Common Stock,PricewaterhouseCoopers
Argan, Inc. Common Stock,InfoCommerce
Agilysys, Inc. - Common Stock,LoseIt.com
iShares  Agency Bond ETF,HealthPocket,
WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,PricewaterhouseCoopers
A.H. Belo Corporation (TX) Common Stock,Relationship
AdaptHealth Corp.  - Class A Common Stock,mHealthCoach
Armada Hoffler Properties, Inc. Common Stock,FindTheBest.com
Allied Healthcare Products, Inc. - Common Stock,ClearHealthCosts
Ashford Hospitality Trust Inc Common Stock,SimpleTuition
Arlington Asset Investment Corp Class A (new),NonprofitMetrics
iShares Asia 50 ETF,SmartAsset
Arlington Asset Investment Corp 6.750% Notes due 2025,PlanetEcosystems
AI Powered Equity ETF,PowerAdvocate
Apollo Tactical Income Fund Inc. Common Stock,PlaceILive.com
American International Group, Inc. New Common Stock,PricewaterhouseCoopers
Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,PricewaterhouseCoopers
Senmiao Technology Limited - Common Stock,PlanetEcosystems
AI Powered International Equity ETF,PowerAdvocate
AIkido Pharma Inc. - Common Stock,PlanetEcosystems
AIM ImmunoTech Inc. Common Stock,MuckRock.com
Altra Industrial Motion Corp. - Common Stock,realtor.com
Aimmune Therapeutics, Inc. - Common Stock,FindTheBest.com
Albany International Corporation Common Stock,PlanetEcosystems
Ashford Inc. (Holding Company) Common Stock,Morningstar,
Apollo Investment Corporation - Closed End Fund,PlanetEcosystems
AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,PricewaterhouseCoopers
Global X Future Analytics Tech ETF,Nautilytics
AAR Corp. Common Stock,realtor.com
Airgain, Inc. - Common Stock,InfoCommerce
Air Industries Group Common Stock,PricewaterhouseCoopers
First Trust RBA American Industrial Renaissance ETF,eInstitutional
Air T, Inc. - Common Stock,InfoCommerce
Air T, Inc. - Trust Preferred Securities,PricewaterhouseCoopers
Applied Industrial Technologies, Inc. Common Stock,FindTheBest.com
Apartment Investment and Management Company Common Stock,PlanetEcosystems
Arlington Asset Investment Corp 6.625% Notes due 2023,PlanetEcosystems
Assurant, Inc. Common Stock,InfoCommerce
Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value,PricewaterhouseCoopers
Arthur J. Gallagher & Co. Common Stock,ClearHealthCosts
Aerojet Rocketdyne Holdings, Inc. Common Stock,PricewaterhouseCoopers
Great Ajax Corp. Common Stock,realtor.com
Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,OpportunitySpace,
Akamai Technologies, Inc. - Common Stock,PlanetEcosystems
Akebia Therapeutics, Inc. - Common Stock,FindTheBest.com
Akcea Therapeutics, Inc. - Common Stock,ClearHealthCosts
Akers Biosciences Inc. - Common Stock,FindTheBest.com
Asanko Gold Inc.,Golden
Acadia Realty Trust Common Stock,ClearHealthCosts
Akero Therapeutics, Inc. - Common Stock,FindTheBest.com
Akorn, Inc. - Common Stock,Morningstar,
Akoustis Technologies, Inc. - Common Stock,FindTheBest.com
Akari Therapeutics Plc - American Depositary Shares,PricewaterhouseCoopers
Air Lease Corporation Class A Common Stock,ClearHealthCosts
Alberton Acquisition Corporation - Ordinary Shares,OpportunitySpace,
Alberton Acquisition Corporation - Rights,NonprofitMetrics
Alberton Acquisition Corporation - Unit,LegiNation,
Albemarle Corporation Common Stock,ClearHealthCosts
Albireo Pharma, Inc. - Common Stock,ClearHealthCosts
Alcon Inc. Ordinary Shares,OpportunitySpace,
Alico, Inc. - Common Stock,LoseIt.com
Aldeyra Therapeutics, Inc. - Common Stock,ClearHealthCosts
Allete, Inc.,Peterson's
Alector, Inc. - Common Stock,LoseIt.com
Alexander & Baldwin, Inc. Common Stock REIT Holding Company,PlanetEcosystems
AlphaClone Alternative Alpha ETF,ClearHealthCosts
Alamo Group, Inc. Common Stock,MuckRock.com
Align Technology, Inc. - Common Stock,PlanetEcosystems
Allegro Merger Corp. - Common Stock,ClearHealthCosts
Allegro Merger Corp. - Unit,Development
Allegiant Travel Company - Common Stock,PlanetEcosystems
Alimera Sciences, Inc. - Common Stock,PlaceILive.com
ALJ Regional Holdings, Inc. - Common Stock,PlaceILive.com
Alaska Air Group, Inc. Common Stock,PlaceILive.com
Alkermes plc - Ordinary Shares,Morningstar,
Allstate Corporation (The) Common Stock,ClearHealthCosts
Allegion plc Ordinary Shares,OpportunitySpace,
Allakos Inc. - Common Stock,LoseIt.com
Allogene Therapeutics, Inc. - Common Stock,FindTheBest.com
Allot Ltd. - Ordinary Shares,OpportunitySpace,
Ally Financial Inc. Common Stock,PlaceILive.com
Allena Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Alnylam Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Alio Gold Inc. Common Shares (Canada),InfoCommerce
AstroNova, Inc. - Common Stock,Environmental
Alpine Immune Sciences, Inc. - Common Stock,FindTheBest.com
Alarm.com Holdings, Inc. - Common Stock,PlaceILive.com
Aileron Therapeutics, Inc. - Common Stock,FindTheBest.com
Alerus Financial Corporation - Common Stock,ClearHealthCosts
Alaska Communications Systems Group, Inc. - Common Stock,PlanetEcosystems
Allison Transmission Holdings, Inc. Common Stock,FindTheBest.com
Altimmune, Inc. - Common Stock,PlanetEcosystems
Alta Equipment Group Inc. Class A Common Stock,PlaceILive.com
Altus Midstream Company - Class A Common Stock,PlanetEcosystems
Altair Engineering Inc. - Class A Common Stock,PlaceILive.com
ProShares Morningstar Alternatives Solution ETF,PricewaterhouseCoopers
Global X SuperDividend Alternatives ETF,ClearHealthCosts
Alussa Energy Acquisition Corp. Class A Ordinary Shares,PlanetEcosystems
Autoliv, Inc. Common Stock,InfoCommerce
Alexander's, Inc. Common Stock,PlanetEcosystems
Alexion Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Alithya Group inc. - Class A subordinate voting shares,PlanetEcosystems
Antero Midstream Corporation Common Stock,NonprofitMetrics
AMAG Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
Amalgamated Bank - Class A Common Stock,ClearHealthCosts
Applied Materials, Inc. - Common Stock,PlaceILive.com
