name,industry,type,founded,num_employees,revenue,stock price,student_careers_url
HCL BigFix,Enterprise IT IT management security configuration management,,-1,250,-1,-1.0,https://www.ibm.com/us-en/employment/entrylevel/
BigMachines,,Subsidiary,-1,-1,32100000,-1.0,https://www.oracle.com/corporate/acquisitions/bigmachines/
Billions in Change,,Limited Liability Corporation (LLC),-1,-1,-1,-1.0,https://billionsinchange.com/contact/
"Bio-Rad Laboratories, Inc.",Medical laboratories,Public,-1,8120,2311000000,630.5700073242188,https://www.bio-rad.com/en-us/corporate/summer-internship
BioPharm Systems,"IT service management,IT services,Information technology consulting,IT consulting",Private,-1,50,-1,-1.0,https://www.pfizer.com/careers/en/early-careers
Bitstream Inc.,"Type foundry,mobile phone web browsers",Public,-1,96,-1,110.33999633789062,https://corporate.ford.com/careers.html
"Blackbaud, Inc.","Software,Software publishing",Public,-1,-1,-1,51.02000045776367,https://www.blackbaud.com/company/careers
Blackboard,Educational technology,Privately held,-1,3000,700000000,-1.0,https://careers.blackboard.com/
Blackline,Software,Public,2001,1055,289000000,113.68000030517578,https://www.blackline.com/careers/
Blaxxun Interactive,,Private company,-1,130,-1,-1.0,https://joinhandshake.com/
Blitz,Software,Private,-1,-1,-1,-1.0,https://blitz.com/
Blockstream,"Cryptocurrency,software",Corporation,-1,50,-1,-1.0,https://blockstream.com/careers/
Bloomfire,software-as-a-service,,2010,-1,-1,-1.0,https://bloomfire.com/
Blue Marble Geographics,"Geographic information system,Computer software,software",Private,-1,-1,-1,-1.0,https://www.bluemarblegeo.com/about-us/careers.php
BlueLink,,,2016,-1,-1,-1.0,https://www.hyundaiusa.com/us/en/careers
"Bluestack Systems, Inc.","Virtualization,mobile software",Private company,2009,-1,-1,-1.0,https://www.bluestacks.com/work-at-bluestacks.html
"BlueTalon, Inc.",Data-centric security,Privately funded,-1,1,-1,-1.0,https://www.dhs.gov/homeland-security-careers/students
"BlueWare, Inc.",Healthcare Information Services,Privately held,-1,0,-1,-1.0,https://bluware.com/careers/
"Bluebeam, Inc.",Software,Private,-1,500,-1,-1.0,https://www.bluebeam.com/communities/education/
"Bluefin Labs, Inc.",,Division,-1,-1,-1,-1.0,http://www.onedayonejob.com/jobs/bluefin-labs/
BlueSpace Federal,software,,2006,-1,-1,-1.0,http://www.bluespacetech.com/student_job.php
Blumberg Capital,Early Stage Venture Capital,Private,-1,-1,-1,-1.0,https://blumbergcapital.com/
Body Labs,Artificial intelligence,Subsidiary,-1,-1,-1,-1.0,https://www.indeed.com/q-The-Body-Lab-jobs.html
"Boingo Wireless, Inc.","Telecommunications,Wireless,Technology",Public,-1,-1,250800000,9.850000381469727,https://www.boingo.com/corporate/careers/
Boller and Chivens,Astronomical telescopes cameras and other precision instruments,,-1,-1,-1,-1.0,https://studentemployment.umich.edu/
The Bomb Factory,,Music Venue,-1,-1,-1,-1.0,https://www.thebombfactory.com/connect/employment
"Bon'App, Inc.",Software Information Retrieval Services Consumer Goods Analytics,Private,-1,-1,-1,-1.0,https://www.bamco.com/careers/
"Booker Software, Inc.",Service Management Platform,Private company,-1,270,-1,-1.0,https://www.booker.com/careers/listing/qa
Boris FX,Video effects software,Private,-1,-1,-1,-1.0,https://borisfx.com/company/careers/
Borland Software Corporation,Computer software,Subsidiary,-1,1100,172000000,-1.0,https://www.mckinsey.com/careers/students
"Bourns, Inc.",Electronics,Privately held company,1947,7000,-1,-1.0,https://www.bourns.com/support/careers
BrainKeeper,,,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Brainshark,,Private,-1,-1,-1,-1.0,https://www.brainshark.com/company/careers
Brandfolder,B2B Software SaaS Digital Asset Management  Marketing Asset Management,Private,-1,50,-1,-1.0,https://jobs.brandfolder.com/
"Brandlive, Inc.",Software,Private,-1,-1,-1,-1.0,https://www.indeed.com/cmp/Brandlive
Breakthrough Software,Software,,1984,-1,-1,-1.0,https://www.breakthroughcollaborative.org/
"Bright Machines, Inc.",Software,Privately held company,-1,500,-1,-1.0,https://www.brightmachines.com/join-the-team/
"Brightcove, Inc.",Internet video,Public,-1,-1,-1,13.0600004196167,https://www.brightcove.com/en/company/careers
Brighterion,"Artificial intelligence,software,Computer software,software",Public,2000,-1,-1,-1.0,https://brighterion.com/why-brighterion/careers/
Brightmail Inc.,"High tech,Tech industry",Private,1998,127,26000000,-1.0,https://www.dhs.gov/homeland-security-careers/student-and-recent-grads
Bristol Technology Inc.,,Private,-1,-1,-1,-1.0,https://bristol.cttech.org/
Britton Lee Inc. (renamed ShareBase Corp.),Database management systems,Public,-1,200,-1,110.33999633789062,https://www.okcps.org/britton
BroadSoft Inc.,Communication software,Subsidiary,-1,0,340960000,-1.0,"https://www.glassdoor.com/Reviews/BroadSoft-chennai-office-Reviews-EI_IE14847.0,9_KH10,24_IP7.htm"
Broadleaf Commerce,E-commerce,Limited liability company,2008,-1,-1,-1.0,https://www.broadleafcommerce.com/careers
Bromium,Computer Software,Private,-1,-1,-1,-1.0,https://www.bromium.com/careers/
Oracle Bronto,"Personalization,Email marketing,Social Media,Mobile Marketing,Ecommerce,SaaS", ,-1,400,-1,-1.0,https://bronto.com/
Bsquare,Technology,Public,1994,250,-1,1.2200000286102295,https://careers.squareup.com/us/en/university
Buildium,Property management,Private company,-1,-1,-1,-1.0,https://www.buildium.com/careers/
"Bullhorn, Inc.","Customer relationship management,Recruitment",Private Company,-1,-1,-1,-1.0,https://www.bullhorn.com/careers/
Bunchball,,,-1,-1,-1,-1.0,https://www.bunchball.com/resources
ByWater Solutions LLC,Computer software,Private,-1,-1,-1,-1.0,http://bywatersolutions.com/about-us
"Bynari, Inc.",Software,Email Software,-1,-1,-1,-1.0,https://www.csuchico.edu/careers/students-and-alumni/trans-and-gender-non-binary-wardrobe-for-wildcats.shtml
CAIS Software,Computer networking,Subsidiary,-1,-1,-1,-1.0,https://angel.co/company/cais-3/jobs/616606-alternative-investments-product-specialist
CARad.com,Online auction,Subsidiary,-1,-1,-1,-1.0,https://www.mastercard.us/en-us/vision/who-we-are/careers.html
