,name,industry,type,founded,num_employees,revenue,operating_income,net_income,student_careers_url,website,page_rank
82,Animusic,,Private,-1,-1,-1.0,-1.0,-1.0,https://joinhandshake.com/,https://www.animusic.com/,5.18
92,AppNeta,Cloud Based Network Performance Management and Web Application Performance Service,Private,-1,-1,-1.0,-1.0,-1.0,https://www.appneta.com/about/careers/,https://www.appneta.com/,5.48
94,AppSheet,"Platform as a service,Digital transformation,Enterprise Software",Subsidiary,2014,35,-1.0,-1.0,-1.0,https://solutions.appsheet.com/careers,https://www.appsheet.com/,5.71
107,Apttus,Enterprise software,Privately held company,2006,-1,-1.0,-1.0,-1.0,https://apttus.com/company/careers/,https://apttus.com/,5.48
112,ArcSoft,Multimedia Software,Private,-1,800,-1.0,-1.0,-1.0,http://www.arcsoft.com/corporate/career.html,http://arcsoft.com/,5.45
119,ArrayFire,High Performance Computing,Private,-1,-1,-1.0,-1.0,-1.0,http://arrayfire.applytojob.com/,https://arrayfire.com/,5.6
129,Atavist,,,-1,-1,-1.0,-1.0,-1.0,https://atavist.com/page/careers,https://atavist.com/,5.87
130,Atego,,,1996,-1,-1.0,-1.0,-1.0,https://www.mercedes-benz-trucks.com/en_GB/brand/careers.html,http://atego.com/,4.87
133,Atos Syntel,"IT service management,IT services,Information technology consulting,IT consulting",,-1,-1,-1.0,-1.0,-1.0,https://www.atos-syntel.net/careers,https://www.atos-syntel.net/,4.12
136,Atypon,Software,Subsidiary,-1,-1,-1.0,-1.0,-1.0,https://www.atypon.com/careers/,https://www.atypon.com/,4.93
137,Augury,Technology,,-1,-1,-1.0,-1.0,-1.0,https://www.augury.com/careers/,https://www.augury.com/,5.5
149,Avanade,"Professional services,Technology services",Subsidiary,-1,39000,2000000000.0,-1.0,-1.0,https://www.avanade.com/en-us/careers/your-career/graduates,https://www.avanade.com/,5.76
151,AvePoint,Computer software,Privately held company,-1,1400,-1.0,-1.0,-1.0,https://www.avepoint.com/about/careers,https://www.avepoint.com/,5.63
155,"Aware, Inc.","Biometrics,software",Public,-1,-1,-1.0,-1.0,-1.0,https://www.aware-inc.org/,https://www.aware-inc.org/,4.12
176,Beeline,Workforce management,Private,1999,450,-1.0,-1.0,-1.0,https://www.beeline.com/careers/,https://www.beeline.com/,4.82
177,BenchPrep,Education,,-1,-1,-1.0,-1.0,-1.0,https://benchprep.com/,https://www.benchprep.com/,5.38
180,BetterCloud,Internet Technology,Private,-1,-1,-1.0,-1.0,-1.0,https://www.bettercloud.com/careers/,https://www.bettercloud.com/,5.61
190,Blackboard,Educational technology,Privately held,-1,3000,700000000.0,-1.0,-1.0,https://careers.blackboard.com/,https://careers.blackboard.com/,5.24
191,Blackline,Software,Public,2001,1055,289000000.0,-1.0,-1.0,https://www.blackline.com/careers/,https://www.blackline.com/,5.47
194,Blockstream,"Cryptocurrency,software",Corporation,-1,50,-1.0,-1.0,-1.0,https://blockstream.com/careers/,https://blockstream.com/,6.12
195,Bloomfire,software-as-a-service,,2010,-1,-1.0,-1.0,-1.0,https://bloomfire.com/,https://bloomfire.com/,5.32
197,BlueLink,,,2016,-1,-1.0,-1.0,-1.0,https://www.hyundaiusa.com/us/en/careers,https://bluelink.org/,4.06
215,Brainshark,,Private,-1,-1,-1.0,-1.0,-1.0,https://www.brainshark.com/company/careers,https://www.brainshark.com/,6.25
216,Brandfolder,B2B Software SaaS Digital Asset Management  Marketing Asset Management,Private,-1,50,-1.0,-1.0,-1.0,https://jobs.brandfolder.com/,https://brandfolder.com/,5.85
221,Brighterion,"Artificial intelligence,software,Computer software,software",Public,2000,-1,-1.0,-1.0,-1.0,https://brighterion.com/why-brighterion/careers/,https://brighterion.com:443/,0.0
227,Bromium,Computer Software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.bromium.com/careers/,https://www.bromium.com/,5.45
229,Bsquare,Technology,Public,1994,250,-1.0,-1.0,-1.0,https://careers.squareup.com/us/en/university,https://www.bsquare.com/,5.2
230,Buildium,Property management,Private company,-1,-1,-1.0,-1.0,-1.0,https://www.buildium.com/careers/,https://www.buildium.com/,5.35
232,Bunchball,,,-1,-1,-1.0,-1.0,-1.0,https://www.bunchball.com/resources,https://www.bunchball.com/,5.62
242,CTERA,"Cloud storage,Cloud storage gateway,s,Data protection,Online backup service,Data synchronization",Private,-1,-1,-1.0,-1.0,-1.0,https://www.ctera.com/company/careers/,https://www.ctera.com/,5.41
243,CTL,Technology,private,-1,-1,-1.0,-1.0,-1.0,https://ctl.net/pages/jobs,https://ctl.net/,5.03
249,CallMiner,Software,Private,2002,-1,-1.0,-1.0,-1.0,https://careers.callminer.com/,https://careers.callminer.com/,3.48
260,Carahsoft,,,-1,-1,-1.0,-1.0,-1.0,https://www.carahsoft.com/careers,https://www.carahsoft.com/,5.31
264,Caspio,Enterprise Software,Private,-1,150,-1.0,-1.0,-1.0,https://www.caspio.com/careers/,https://www.caspio.com/,5.92
276,ChannelAdvisor,e-commerce,Public,2001,642,130000000.0,-1.0,-1.0,https://www.channeladvisor.com/careers/,https://www.channeladvisor.com/,5.73
290,CivicPlus,Web development,Private,-1,-1,-1.0,-1.0,-1.0,https://www.civicplus.com/careers,https://www.civicplus.com/,5.75
291,Clarifai,Computer Vision,Private,-1,90,-1.0,-1.0,-1.0,https://www.clarifai.com/careers,https://www.clarifai.com/,5.63
294,ClassRanked.com,"Education,EdTech,Review site",,-1,-1,-1.0,-1.0,-1.0,https://www.wraltechwire.com/2019/08/20/classranked-com-a-duke-student-launched-ratings-site-expands-footprint-to-other-us-campuses/,https://classranked.com/,3.82
297,Cleo,Software,Privately held company,-1,300,-1.0,-1.0,-1.0,https://hicleo.com/careers/,https://www.cleo.com/,5.46
307,Cloudinary,Technology,Private,-1,200,-1.0,-1.0,-1.0,https://cloudinary.com/jobs,https://cloudinary.com/,6.51
308,Cloudwords,software,,2010,-1,-1.0,-1.0,-1.0,https://www.cloudwords.com/blog/cloudwords-university-enroll-now,https://www.cloudwords.com/,5.09
313,Coda,,,-1,-1,-1.0,-1.0,-1.0,https://angel.co/company/coda-io-1/jobs,https://coda.io/,5.87
