Company Name, Number of H1B in 2020, Median Salary Overall, Post, Median salary for post, Number of h1bs filed for that post  
Humana, 7 Records from 2020, Median Salary $105109.2, SOFTWARE ENGINEER 2, $110,000, 3
Humana, 7 Records from 2020, Median Salary $105109.2, SOFTWARE ENGINEER I, $100,006, 1
Honeywell International, 10 Records from 2020, Median Salary $95250, SOFTWARE ENGINEER II, $95,250, 10
3M, 1 Records from 2020, Median Salary $79729.23, SOFTWARE ENGINEER ENGR ADV SOFTWARE DEVT, $79,729, 1
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE ENGINEERING SENIOR ADVISOR, $128,810, 12
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE ENGINEERING ADVISOR, $112,011, 8
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE ENGINEERING DIRECTOR, $210,201, 1
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE ENGINEERING SENIOR MANAGER, $140,000, 1
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE ENGINEER SENIOR ADVISOR, $133,000, 1
Cigna, 24 Records from 2020, Median Salary $125000, SOFTWARE DIGITAL LEAD ENGINEER - SENIOR ADVISOR, $125,000, 1
Macy's, 42 Records from 2020, Median Salary $90000, SOFTWARE ENGINEER, $85,509, 27
Macy's, 42 Records from 2020, Median Salary $90000, SOFTWARE ENGINEER - SOEE, $90,000, 14
Macy's, 42 Records from 2020, Median Salary $90000, SOFTWARE ENGINEER, ANDROID, $95,000, 1
Capital One Financial, 33 Records from 2020, Median Salary $94307, SOFTWARE ENGINEER, $96,595, 29
Capital One Financial, 33 Records from 2020, Median Salary $94307, SOFTWARE DEVELOPER, $94,307, 3
Capital One Financial, 33 Records from 2020, Median Salary $94307, SOFTWARE ENGINEER IV, $99,154, 1
Best Buy, 45 Records from 2020, Median Salary $66976, SOFTWARE DEVELOPER, $62,762, 34
Best Buy, 45 Records from 2020, Median Salary $66976, SOFTWARE ENGINEER, $76,500, 11
Deere & Company, 46 Records from 2020, Median Salary $92500, SOFTWARE ENGINEER, $93,000, 43
Deere & Company, 46 Records from 2020, Median Salary $92500, SOFTWARE ENGINEER, ATP, $95,000, 2
Deere & Company, 46 Records from 2020, Median Salary $92500, SOFTWARE ANALYST, $81,000, 1
Allstate, 8 Records from 2020, Median Salary $94203, SOFTWARE ENGINEER, $92,009, 4
Allstate, 8 Records from 2020, Median Salary $94203, SOFTWARE DEVELOPMENT ENGINEER IN TEST, $119,122, 2
Allstate, 8 Records from 2020, Median Salary $94203, SOFTWARE ENGINEER - .NET, $94,203, 1
Allstate, 8 Records from 2020, Median Salary $94203, SOFTWARE ENGINEER - MOBILE, $89,814, 1
AbbVie, 1 Records from 2020, Median Salary $77438, SOFTWARE DEVELOPER, $77,438, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE ENGINEER, $98,300, 10
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPER, $92,607, 4
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPER - ANDROID, $98,500, 2
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE ENGINEER - VEHICLE MOTION EMBEDDED CONTROLS, $92,004, 2
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPER ADVISOR, $131,420, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DELIVERY LEAD, $124,300, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPER- SYSTEMS ENGINEER, $115,000, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE TOOLS DEVELOPMENT ENGINEER, $111,934, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE TEST ANALYST, $105,000, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE ENGINEER CIE, $94,008, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DESIGN ENGINEER, $88,486, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPMENT ENGINEER I, $80,000, 1
General Dynamics, 27 Records from 2020, Median Salary $98004, SOFTWARE DEVELOPER APPLICATIONS, $77,376, 1
Micron Technology, 22 Records from 2020, Median Salary $88500, SOFTWARE DEVELOPER, $86,000, 16
Micron Technology, 22 Records from 2020, Median Salary $88500, SOFTWARE ENGINEER, $91,000, 3
Micron Technology, 22 Records from 2020, Median Salary $88500, SOFTWARE DEVELOPER SQL BI DEVELOPER, $90,000, 1
Micron Technology, 22 Records from 2020, Median Salary $88500, SOFTWARE ENGINEER, EMD, $90,000, 1
Micron Technology, 22 Records from 2020, Median Salary $88500, SOFTWARE DEVELOPER PROGRAMMER ANALYST SPECIALIST, $87,000, 1
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE SENIOR ENGINEER, $106,000, 17
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE PRINCIPAL ENGINEER, $126,000, 15
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE ENGINEER 2, $106,000, 15
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE SENIOR PRINCIPAL ENGINEER, $149,000, 11
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE ENGINEER, $102,212, 6
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE ENGINEER 1, $82,500, 3
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE SYSTEM SENIOR PRINCIPAL ENGINEER, $136,859, 1
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE ENGINEER 2 IT, $90,000, 1
Dell Technologies, 70 Records from 2020, Median Salary $110302, SOFTWARE ENGINEER 1 -IT, $69,618, 1
Continental Resources, 18 Records from 2020, Median Salary $87272, SOFTWARE ENGINEER, $89,230, 12
Continental Resources, 18 Records from 2020, Median Salary $87272, SOFTWARE DEVELOPER, $75,795, 5
Continental Resources, 18 Records from 2020, Median Salary $87272, SOFTWARE ENGINEER ARCHITECT, $90,500, 1
Fidelity National Information, 27 Records from 2020, Median Salary $73486, SOFTWARE ENGINEER DEVELOPER, $73,486, 26
